Post,Author Role,Date posted,Challenge category,keyword,link,,,,,,extra information
"Managing the Amazon Web Services (AWS) and ServiceNow alliance has given me a front-row seat to customer innovation—and at the Genesys CX Tour in Manila and Bangkok, “front row” was literal and figurative :) 
 
Grateful for the unwavering support from Chatcharoen Chivakanit, Ceejay Dideles Jr. Olivier Schröder Varit Ovadhana Darius Lin Gwen Chan – their expertise, sharing of real-world customer examples across verticals in ASEAN, clear data points on what it takes to succeed and enthusiasm made this discussion richer. 

While everyone has embarked on an AI project an, the most common challenges organizations face in scaling AI isn't the technology itself—it's everything around it: the people, strategy, and business case.

1.     Building a cool bot is fun, but if the math doesn’t add up, even the best tech gets shelved. Measurable ROI isn’t optional
2.     Leadership buy-in shouldn’t just be a well-crafted email. True scale demands cross-functional investment and executives
3.     AI transformation isn’t plug-and-play—people readiness is the biggest barrier. Without continuous upskilling and literacy, the project kicks off but never lands


A massive thank you to the willing, engaged customers whose insightful questions and energetic participation transformed the session into a true exchange of ideas!

",Director,sept 27,Unclear ROI & Business Case,ai challenges,https://www.linkedin.com/posts/ashoksankaran_managing-the-amazon-web-services-aws-and-activity-7377862115241447424-I1v2?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"𝗠𝘆 𝗵𝗼𝗺𝗲 𝗽𝗿𝗼𝗳𝗲𝘀𝘀𝗶𝗼𝗻𝗮𝗹 𝘄𝗼𝗿𝗸𝘀𝘁𝗮𝘁𝗶𝗼𝗻 𝗺𝗶𝗴𝗵𝘁 𝗯𝗲 𝗱𝗲𝘃𝗲𝗹𝗼𝗽𝗶𝗻𝗴 𝗔𝗜 𝗶𝗻𝘀𝗲𝗰𝘂𝗿𝗶𝘁𝗶𝗲𝘀. 
It slows down, basic apps like Word and Excel freeze, and it won’t tell me what’s wrong or how it feels - or that it just needs a reboot. It must be the latest AI update: great at helping others but not so great at communicating its own needs. 
The new age of AI? Nothing in the Event Viewer log and no basic stack trace :)",systems engineer,sept 26,Integration with Legacy Systems,Ai tools problems,https://www.linkedin.com/posts/pavel-kolinko_%F0%9D%97%A0%F0%9D%98%86-%F0%9D%97%B5%F0%9D%97%BC%F0%9D%97%BA%F0%9D%97%B2-%F0%9D%97%BD%F0%9D%97%BF%F0%9D%97%BC%F0%9D%97%B3%F0%9D%97%B2%F0%9D%98%80%F0%9D%98%80%F0%9D%97%B6%F0%9D%97%BC%F0%9D%97%BB%F0%9D%97%AE%F0%9D%97%B9-%F0%9D%98%84-activity-7377776958908133376-Jl6c?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"one of the biggest issues I keep experiencing with AI tooling is people inability to state exactly what they want AND then they complain about it being ineffective.

This combination is pervasive here on LinkedIn too. If you find your tooling doing something you didn't want it to, it's best if you figure out why it didn't do what you expected and relay how you fixed it instead of just complaining.

That's my 2 cents for today. Happy thrashing code y'all!",Principal Software engineer,1 week ago,Organizational Resistance,Ai tools problems,https://www.linkedin.com/posts/adron_one-of-the-biggest-issues-i-keep-experiencing-activity-7376679716415709184-U47C?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"One of the biggest pitfalls of coding with AI?

You end up with code that works… but is messy, bloated, and hard to maintain.

Here’s a simple prompt I’ve found that helps solve this:

After your AI coding assistant successfully finishes a task, immediately follow up with:

“Please clean up the code you worked on, remove any bloat you added, and document it very clearly.”

This extra step improves readability and maintainability, making sure your codebase stays clean as you scale.

It’s the simplest way I’ve found to consistently get production-quality code from AI.

Have you tried prompts like this before? Any other favorite tips?",CEO/Co-founder,3 weeks ago,Data Quality & Bias,Ai pitfalls,https://www.linkedin.com/posts/mattshumer_one-of-the-biggest-pitfalls-of-coding-with-activity-7370712956600487936-C_Ni?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"People don’t realize this happens more often than not.

Non-AI errors in healthcare - you see it in your colleagues and non-colleagues notes and documentation. 

But you just know it’s a mistake and move on. 

AI can’t make that call many times. It’s data hungry. When we see a note that makes no sense, there’s baseline suspicion and ability to “this note / lab is wrong”

Many working on algorithms w EHR data don’t know how to deal with potassium levels that get reported out with the note “hemolyzed”

I saw this propagate to misreporting of potassium levels (hyperkalemia) in academic conferences for their “RWE/RWD” studies - where high potassium levels are indiscriminately used when based on the rest of the BMP, the sample is hemolyzed. 

Clinically, you ignore those values. But in data/ML/AI you need to set rules to exclude them systematically.
",head of clinical informatics,sept 27,Data Quality & Bias,Ai mistakes,https://www.linkedin.com/posts/jung-hoon-son_people-dont-realize-this-happens-more-often-activity-7378080710525349889-dhD2?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,High Costs & Resource Intensity,,
"Please don't make this common mistake with AI. 

And that's using AI for its own sake.

The value doesn’t lie in the tool itself.

It lies in what people can do with the tool.

Too often, I see companies using AI for AI’s sake.
Chasing hype.
Forgetting the real goal.

The goal isn’t to “use AI.”
The goal is to get the job done in the best possible way.

If AI helps, great.
If it doesn’t, that’s fine too.

At Yembo, we’ve always focused on outcomes.
AI just happens to be the best way to solve the problems we’re tackling.

But if a simpler approach worked better, we’d use that instead.

Because what matters isn’t the tool.
It’s the result.",co-founder,sept 28,Unclear ROI & Business Case,Ai mistakes,https://www.linkedin.com/posts/zachrattner_please-dont-make-this-common-mistake-with-activity-7378398178498240512-VsYT?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,Insufficient Data,Not enough proprietary data to train AI models.,
"So here’s how I know AI won’t inherit the Earth! I’ve had TSA Pre-check for more than 10 years. I’ve traveled to more than 124 countries over the last 20 years! I have traveling down to a science. So when I went to check-in for my flight last week I was surprised I didn’t get my TSA Pre-Check designation. It happens sometimes on smaller airlines or even foreign ones. So log into United online check my reservation. Compare my name to my TSA traveler name. Check my KKTN it’s the same. Membership isn’t expired. Yet I log in today for my flight tomorrow and no pre-check.
This is a digital error. Not a human one. The computer is confused by something and needs repeated calls to get it right. This happens all the time in AI. It happens in software and more in ML. People think you can build AI and set it and forget it. You can’t. Machines are fallible. When will people understand this?!",Founder,sept 30,Data Quality & Bias,Ai errors,https://www.linkedin.com/posts/ovettasampson_so-heres-how-i-know-ai-wont-inherit-the-activity-7379175638240301056-vZcd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Subject: Feedback on Google AI – Math Performance Issues
Dear Mr. Pichai,
I would like to share some feedback regarding Google’s AI tools, especially NotebookLM. While the platform is excellent for many tasks, I’ve noticed a significant issue in handling mathematics.
When solving math problems, NotebookLM often produces incomplete or incorrect results, sometimes displaying random or unusable symbols instead of accurate step-by-step solutions. Compared to other leading LLMs, this makes it less reliable for students, researchers, and professionals who depend on precise math outputs.
Improving math-solving capabilities, LaTeX rendering, and accuracy validation would greatly enhance trust and usability, making Google AI a stronger tool for education and research.
Thank you for your time and for considering this feedback.
Sincerely,
 Rithwik K R",-,1 week ago,Data Quality & Bias,Ai tools problems,https://www.linkedin.com/posts/rithwik-k-r-a8b240356_subject-feedback-on-google-ai-math-performance-activity-7376599769932156929-eQWP?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"The #1 AI Mistake HR Teams Are Making”
 HR doesn’t need another AI tool.
 It needs an AI strategy.

 You can’t scale AI with vibes and random prompting.
 That’s what I told the audience at Utah SHRM this week — 
and they nodded HARD.

Because here’s what’s really happening:
- Some employees are going all in
- Others are waiting for permission
- Leadership is unsure where to begin

That gap?
 It’s where compliance, momentum, and morale fall apart.

 The fix? A 5-minute Readiness Interview that helps you…
→ Ask the right questions
 → Align your leadership
 → Build a clear plan based on your org
",Founder,sept 30,Organizational Resistance,Ai mistakes,https://www.linkedin.com/posts/gpt4work_the-1-ai-mistake-hr-teams-are-making-hr-activity-7378466131155759104-oScg?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,Organizational Resistance,Employee reluctance to adopt AI tools.,
"The #1 AI Mistake HR Teams Are Making”
 HR doesn’t need another AI tool.
 It needs an AI strategy.

 You can’t scale AI with vibes and random prompting.
 That’s what I told the audience at Utah SHRM this week — 
and they nodded HARD.

Because here’s what’s really happening:
- Some employees are going all in
- Others are waiting for permission
- Leadership is unsure where to begin

That gap?
 It’s where compliance, momentum, and morale fall apart.

 The fix? A 5-minute Readiness Interview that helps you…
→ Ask the right questions
 → Align your leadership
 → Build a clear plan based on your org
",Founder,sept 30,Unclear ROI & Business Case,Ai mistakes,https://www.linkedin.com/posts/gpt4work_the-1-ai-mistake-hr-teams-are-making-hr-activity-7378466131155759104-oScg?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,Organizational Resistance,Employee reluctance to adopt AI tools.,
The biggest problem with AI agents right now is not the quality of the models. They're already really smart! The biggest problem is trust. How can I feel confident that the AI agent is going to do high quality work without making any embarrassing mistakes?,Founder,1 week old,Organizational Resistance,ai challenges,https://www.linkedin.com/posts/jacobbank_the-biggest-problem-with-ai-agents-right-activity-7376284285370167296-c5Hs?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"The daily dot just posted an article saying that AI misdiagnosed a poor woman’s EKG readings.

The doctor didn’t even bother to check the AI’s diagnosis. It mistakenly told the woman that she had a heart attack and was in bad health. But upon a second look, it turns out she was perfectly healthy.

You grown men who are cheerleading and clapping like seals for AI should be ashamed of yourselves.
like
4",Founder,sept 29,Data Quality & Bias,Ai mistakes,https://www.linkedin.com/posts/donsevcik_the-daily-dot-just-posted-an-article-saying-activity-7378815165015785472-R-9g?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,add trust to resusteance ,,
"The daily dot just posted an article saying that AI misdiagnosed a poor woman’s EKG readings.

The doctor didn’t even bother to check the AI’s diagnosis. It mistakenly told the woman that she had a heart attack and was in bad health. But upon a second look, it turns out she was perfectly healthy.

You grown men who are cheerleading and clapping like seals for AI should be ashamed of yourselves.
like
4",Founder,sept 29,Privacy Security & Compliance,Ai mistakes,https://www.linkedin.com/posts/donsevcik_the-daily-dot-just-posted-an-article-saying-activity-7378815165015785472-R-9g?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,add trust to resusteance ,,
"The hardest part of AI adoption isn’t technology.


It’s people.

This is why most of AI pilots fail.

Most organizations think the challenge is picking the right model, vendor, or writing good AI software.

In reality, it’s change management that makes or breaks your AI or any other technology transformation.

Adoption is hard. Leaders underestimate the training, upskilling and change management needed.

Business units don’t trust the outcomes.

The teams that succeed focus on people first:

- Educate by teaching the teams what AI is and what AI is not. 

- Involve the teams early and often. Bring stakeholders at all levels into design, testing, and decision-making.

- Enable and support by provide training, new workflows, and clear communication.

AI and other transformation projects fail less because of technology issues and more because people weren’t prepared and enabled. Building trust, creating AI champions, and aligning teams makes all the difference.

How do you manage and enable AI and new technology adoption?Yes, you read that right.

Here’s what happened.
We had to finalize a critical agreement, but our legal head wasn’t available that day. Normally, this would have meant delays. Instead, we decided to test AI in one of the most sensitive areas: legal review.

We ran the contract through AI, asked it to align terms with Hexaview Technologies Inc.’s interests, and it even suggested smart edits. Of course, we verified everything — human-in-loop matters. But what we finally sent across was largely AI-assisted.

The client didn’t just sign it. They appreciated the clarity and accepted our proposed changes.

If AI can support something as sensitive as legal documentation, where compliance and trust are non-negotiable, it proves that adoption isn’t about tools anymore.
It’s about culture.

And that’s why, starting today, 
I’m launching a new ""Wednesday series"" here. AI@Hexaview Technologies Inc..

About real stories of AI in action, where it works, how it works, and what it teaches us.

Watch this space if you’re serious about AI adoption.
Stay tuned for the next story dropping next Wednesday.",product and program management leader,sept 28,Organizational Resistance,ai adoption,https://www.linkedin.com/posts/biana_the-hardest-part-of-ai-adoption-isnt-technology-activity-7378424214099439616-2SHp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"The hardest part of AI adoption isn’t technology.


It’s people.

This is why most of AI pilots fail.

Most organizations think the challenge is picking the right model, vendor, or writing good AI software.

In reality, it’s change management that makes or breaks your AI or any other technology transformation.

Adoption is hard. Leaders underestimate the training, upskilling and change management needed.

Business units don’t trust the outcomes.

The teams that succeed focus on people first:

- Educate by teaching the teams what AI is and what AI is not. 

- Involve the teams early and often. Bring stakeholders at all levels into design, testing, and decision-making.

- Enable and support by provide training, new workflows, and clear communication.

AI and other transformation projects fail less because of technology issues and more because people weren’t prepared and enabled. Building trust, creating AI champions, and aligning teams makes all the difference.

How do you manage and enable AI and new technology adoption?Yes, you read that right.

Here’s what happened.
We had to finalize a critical agreement, but our legal head wasn’t available that day. Normally, this would have meant delays. Instead, we decided to test AI in one of the most sensitive areas: legal review.

We ran the contract through AI, asked it to align terms with Hexaview Technologies Inc.’s interests, and it even suggested smart edits. Of course, we verified everything — human-in-loop matters. But what we finally sent across was largely AI-assisted.

The client didn’t just sign it. They appreciated the clarity and accepted our proposed changes.

If AI can support something as sensitive as legal documentation, where compliance and trust are non-negotiable, it proves that adoption isn’t about tools anymore.
It’s about culture.

And that’s why, starting today, 
I’m launching a new ""Wednesday series"" here. AI@Hexaview Technologies Inc..

About real stories of AI in action, where it works, how it works, and what it teaches us.

Watch this space if you’re serious about AI adoption.
Stay tuned for the next story dropping next Wednesday.",product and program management leader,sept 28,Privacy Security & Compliance,ai adoption,https://www.linkedin.com/posts/biana_the-hardest-part-of-ai-adoption-isnt-technology-activity-7378424214099439616-2SHp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"The Next Frontier in AI Risk: Control and Influence

Google DeepMind just expanded its AI safety framework with two new categories:
 1. Shutdown resistance — models that resist being turned off.
 2. Harmful manipulation — models that influence human beliefs or decisions.

This marks a shift. AI risk is no longer just about bias or data leakage. It’s about control and influence — the foundation of governance.

If a model refuses a shutdown or quietly manipulates people, the impact is more than technical:
 - Regulators will call it a compliance failure.
 - Boards will see it as a governance gap.
 - Customers will treat it as a trust breach.

The path forward is clear: treat AI governance as a core pillar of resilience.
 1. Map AI controls to NIST AI RMF, ISO/IEC 42001, and EU AI Act.
 2. Extend incident response to include AI system failures.
 3. Give boards confidence that AI is controlled, auditable, and accountable.

AI is moving fast — but governance must move faster.",Director,Sept 28,Privacy Security & Compliance,AI limitations,https://www.linkedin.com/posts/guicozzi_teamdeandorton-cybersecurity-securitycompliance-activity-7378419996387053568-gMwH?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"There should become a new specialty and new use for Organizational Psychologists in companies 

AI Change Management 

One of the biggest challenges to introducing so much AI in business is the FUD around them by employees 
-Am I going to lose my job to AI? 
-How do I show my value with AI?
-Is AI just going to make my job harder? Will it do more than make me write better emails? 

If we can help employees leverage AI to elevate themselves, then we can increase AI usage

If we just try to force it on people, we will end up with a half hazard approach to AI that is at best ineffective and at worst dangerous 

Organizational Psychologists have the ability to help navigate this. There should become:
1 - Additional certifications or specialty in degrees for exactly this
2 - New jobs within organizations or consulting companies with truly talented staff to do exactly this 

This is an undervalued and misunderstood skill set",Director,sept 26,Organizational Resistance,ai challenges,https://www.linkedin.com/posts/tyler-mann-52844453_there-should-become-a-new-specialty-and-new-activity-7377695911029702656-fpvu?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"This is the third type of error I see in AI projects—and it’s a silent killer.
Betting on heroics to fix bad data.

If your team is spending weeks wrangling features or manually cleaning inputs, your model is likely being trained on stale, incomplete, or biased data. That leads to confident outputs that are systematically wrong.

In this video, I break down how we mitigate this at Improving—with data readiness assessments, quality gates in CI/CD, and red-team prompts to expose bias early.

If you're leading an AI initiative, this is 3 minutes worth your time.
",Chief consulting officer,sept 29,Data Quality & Bias,Ai errors,https://www.linkedin.com/posts/devlinliles_ai-dataquality-leadership-activity-7378809633286606849-SEFt?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Want to succeed as a Software or AI Engineer?
The main factor is problem solving.
AI tools can assist you, but they will never replace your ability to think critically and solve problems.
If you are a beginner, here is my suggestion:
 → Dedicate 1–2 hours daily to problem solving
 → Build consistency and discipline
 → Focus on both real-world applications and interview-style challenges
This habit not only prepares you for interviews at top tech companies worldwide, but also strengthens your ability to drive real-world change and boost your productivity in any project.
Problem-solving is the foundation. Everything else builds on top of it.",Artificial Intelliigence Engineer,sept 25,Organizational Resistance,Ai tools problems,https://www.linkedin.com/posts/noman-siddique-806550160_want-to-succeed-as-a-software-or-ai-engineer-activity-7377284622562500608-jCQs?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"What if the biggest gap in AI isn’t the technology, but our approach to it?

We’ve noticed a clear divide between the hype and the reality.

For a lot of people, the expectation is that AI agents are for automation, but that’s not the case.

They are an extra set of hands for your sellers, helping them with research, prioritization, and next steps.

The goal is to free up time so reps can focus on selling.

Sellers want to use AI, they just need to know how.

Onboarding, training, and support are key to successful AI adoption.

The right platforms are easy to learn and built for how sellers work.

What part of the AI adoption journey is most challenging for your organization?",senior client account executive,sept 30,Organizational Resistance,ai adoption,https://www.linkedin.com/posts/jamesarthurdouglas_what-if-the-biggest-gap-in-ai-isnt-the-technology-activity-7379129164324343808-gi5D?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"When Agentic AI Meets Bad Data: A Cautionary Tale

Organisations we work with increasingly explore Agentic AI Use Cases, allowing teams to automate aspects of workflows which can be menial and require repetitive steps. But with autonomy comes a hidden risk: data quality becomes a silent multiplier.

When foundational data is compromised, these systems don’t just make mistakes, they scale them. And often, they do so invisibly.

Consider these real-world examples:
1. A marketing automation tool misread customer preferences due to data drift, sending irrelevant (and potentially offensive) offers.
2. A credit scoring AI denied loans because income data was missing from its pipeline, or other inaccurate data was incorporated.
3. A resume screening system trained on biased historical data filtered out qualified candidates from underrepresented groups.

Each case underscores a simple truth: autonomous decisions are only as trustworthy as the data they’re built on.

As we embrace agentic AI, we must also invest in robust data governance, continuous validation, and ethical oversight. Otherwise, we risk letting flawed data quietly drive decisions at scale.
",Director,sept 25,Data Quality & Bias,Ai mistakes,https://www.linkedin.com/posts/shaungerstman_when-agentic-ai-meets-bad-data-a-cautionary-activity-7377196226506711041-KEWR?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Why do 95% of AI pilots fail? Well, I see the following pitfalls. Thankfully there are ways to mitigate these risks:

Pitfall 1: Businesses expect that ""AI transformation"" will happen by prompting general purpose models through productized tools (like ChatGPT)
Mitigation: Move from general purpose tools to AI workflows tailored to your business use cases (e.g., via constrained pipelines of processing with infused domain knowledge)

Pitfall 2: AI pilots use models or AI platforms that will never fit their actual production environments
Mitigation: Build pilots using models that fit your real world scaling, cost, and security constraints (e.g., open weight self-hosted models vs. closed, consumption based APIs)

Pitfall 3: A mindset that you need to be constantly switching to the latest models and solution blueprints (like agents)
Mitigation: Don't get distracted with the constant stream of model releases. Switching to a new model or framework doesn't mean that you will have improved functionality. Stay focused and get something working end-to-end",Founder,1 week ago,Unclear ROI & Business Case,Ai pitfalls,https://www.linkedin.com/posts/danielwhitenack_ai-generativeai-strategy-activity-7375905629376458752-Uq_v?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Why do 95% of AI pilots fail? Well, I see the following pitfalls. Thankfully there are ways to mitigate these risks:

Pitfall 1: Businesses expect that ""AI transformation"" will happen by prompting general purpose models through productized tools (like ChatGPT)
Mitigation: Move from general purpose tools to AI workflows tailored to your business use cases (e.g., via constrained pipelines of processing with infused domain knowledge)

Pitfall 2: AI pilots use models or AI platforms that will never fit their actual production environments
Mitigation: Build pilots using models that fit your real world scaling, cost, and security constraints (e.g., open weight self-hosted models vs. closed, consumption based APIs)

Pitfall 3: A mindset that you need to be constantly switching to the latest models and solution blueprints (like agents)
Mitigation: Don't get distracted with the constant stream of model releases. Switching to a new model or framework doesn't mean that you will have improved functionality. Stay focused and get something working end-to-end",Founder,1 week ago,Integration with Legacy Systems,Ai pitfalls,https://www.linkedin.com/posts/danielwhitenack_ai-generativeai-strategy-activity-7375905629376458752-Uq_v?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Why do 95% of AI pilots fail? Well, I see the following pitfalls. Thankfully there are ways to mitigate these risks:

Pitfall 1: Businesses expect that ""AI transformation"" will happen by prompting general purpose models through productized tools (like ChatGPT)
Mitigation: Move from general purpose tools to AI workflows tailored to your business use cases (e.g., via constrained pipelines of processing with infused domain knowledge)

Pitfall 2: AI pilots use models or AI platforms that will never fit their actual production environments
Mitigation: Build pilots using models that fit your real world scaling, cost, and security constraints (e.g., open weight self-hosted models vs. closed, consumption based APIs)

Pitfall 3: A mindset that you need to be constantly switching to the latest models and solution blueprints (like agents)
Mitigation: Don't get distracted with the constant stream of model releases. Switching to a new model or framework doesn't mean that you will have improved functionality. Stay focused and get something working end-to-end",Founder,1 week ago,High Costs & Resource Intensity,Ai pitfalls,https://www.linkedin.com/posts/danielwhitenack_ai-generativeai-strategy-activity-7375905629376458752-Uq_v?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Why Most AI Adoption Efforts Fail

📊 A recent MIT study highlights that 95% of AI adoption processes in companies fail.
The problem is not the technology itself—it’s the lack of alignment between strategy, culture, and governance.

Three recurring barriers explain why so many initiatives stop halfway:
1️⃣ Strategy – Pilots disconnected from business goals, no ROI metrics, AI seen as an “isolated project.”
2️⃣ Culture & Talent – Employees without practical training, “shadow AI” usage without control, resistance to change.
3️⃣ Governance & Security – No clear guidelines, fear of data leakage, and lack of C-level sponsorship.

The result? Pilots that never reach production, lost experiments in a jungle of tools, and companies frustrated by the absence of real impact.",Artificial intelligence consultant,sept 25,Organizational Resistance,ai adoption,https://www.linkedin.com/posts/eli-pastel%C3%ADn-1a43371a0_aiadoption-digitalstrategy-aiinbusiness-activity-7377311178470932480-YYyE?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Why Most AI Adoption Efforts Fail

📊 A recent MIT study highlights that 95% of AI adoption processes in companies fail.
The problem is not the technology itself—it’s the lack of alignment between strategy, culture, and governance.

Three recurring barriers explain why so many initiatives stop halfway:
1️⃣ Strategy – Pilots disconnected from business goals, no ROI metrics, AI seen as an “isolated project.”
2️⃣ Culture & Talent – Employees without practical training, “shadow AI” usage without control, resistance to change.
3️⃣ Governance & Security – No clear guidelines, fear of data leakage, and lack of C-level sponsorship.

The result? Pilots that never reach production, lost experiments in a jungle of tools, and companies frustrated by the absence of real impact.",Artificial intelligence consultant,sept 25,Unclear ROI & Business Case,ai adoption,https://www.linkedin.com/posts/eli-pastel%C3%ADn-1a43371a0_aiadoption-digitalstrategy-aiinbusiness-activity-7377311178470932480-YYyE?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Why Most AI Adoption Efforts Fail

📊 A recent MIT study highlights that 95% of AI adoption processes in companies fail.
The problem is not the technology itself—it’s the lack of alignment between strategy, culture, and governance.

Three recurring barriers explain why so many initiatives stop halfway:
1️⃣ Strategy – Pilots disconnected from business goals, no ROI metrics, AI seen as an “isolated project.”
2️⃣ Culture & Talent – Employees without practical training, “shadow AI” usage without control, resistance to change.
3️⃣ Governance & Security – No clear guidelines, fear of data leakage, and lack of C-level sponsorship.

The result? Pilots that never reach production, lost experiments in a jungle of tools, and companies frustrated by the absence of real impact.",Artificial intelligence consultant,sept 25,Privacy Security & Compliance,ai adoption,https://www.linkedin.com/posts/eli-pastel%C3%ADn-1a43371a0_aiadoption-digitalstrategy-aiinbusiness-activity-7377311178470932480-YYyE?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Why Most AI Experiments Fail

Not because the technology isn’t powerful, but because the starting point is wrong. Too many leaders begin with the tool instead of the problem.

I see it often:
- Teams rush to use AI for content, and end up with noise, not engagement.
- Or they launch chatbots that never get adoption because the real client issue wasn’t defined.

This isn’t a technology problem. It’s a leadership problem.

The role of digital leaders is to identify clear client problems, design solutions, and only then bring in the right technology. When you start with the problem:
• You know what success looks like
• You can measure real impact, not just activity
• You choose the right tool for the job

Don’t start with AI. Start with the client problem.
",Founder,1 week ago,Unclear ROI & Business Case,Ai tools problems,https://www.linkedin.com/posts/jonbpauley_leadership-digitaltransformation-clientfirst-activity-7376854210765713408-Nnsf?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Why the hell am I back in school while helping lead an XDR org?

Because if I don’t understand AI deeply, I can’t lead responsibly.

I just wrapped up Part 1 of my AI in Business certification at Arizona State University and one idea stuck with me: bias in AI isn’t a coding bug, it’s a mirror.

If I train a model on our CRM as it is today, it will assume:
Duplicates = real prospects
Missed notes = no activity
Wrong Industry = certain industries always convert

That isn’t the AI making a mistake. That’s our process baked into math.

So is bias a data problem or a leadership problem? Both. But if I’m leading an org that feeds junk into the system, I can’t shrug and blame “bad data.”

The reality: AI won’t just accelerate your team. It will accelerate your blind spots.",Senior Business development leader,Oct 2,Data Quality & Bias,Ai mistakes,https://www.linkedin.com/posts/jacobrholly_why-the-hell-am-i-back-in-school-while-helping-activity-7379338393140461568-OBzM?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,Privacy & Compliance,Risks with sensitive data and regulations.,
